Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
9,639218752635271,639218752644854,1069,17632,108,307,0.0
10,639218752635771,639218752645104,19422,26918,174,370,639218752193141.0
11,639218752635937,639218752645521,534,21719,195,395,0.0
34,639218752648588,639218752657588,3972,19016,80,269,0.0
35,639218752649005,639218752658172,18722,26996,80,272,639218752193141.0
36,639218752649172,639218752658672,529,19598,90,290,0.0
19,639218752662255,639218752669588,1398,21800,111,265,0.0
20,639218752663255,639218752670505,181,1145,108,258,0.0
50,639218752662088,639218752671005,18997,25374,108,297,639218752193141.0
49,639218752661838,639218752671255,1191,23126,111,307,0.0
17,639218752673974,639218752683474,2200,21395,97,297,0.0
18,639218752674474,639218752683807,18092,26006,195,391,639218752193141.0
37,639218752687672,639218752696338,871,20538,73,255,0.0
40,639218752688588,639218752696422,281,1356,80,244,0.0
38,639218752688005,639218752697172,17067,27679,80,272,639218752193141.0
39,639218752688088,639218752697588,323,18652,80,279,0.0
49,639218752700838,639218752709755,961,24074,101,290,0.0
50,639218752701588,639218752710172,18233,25417,122,304,639218752193141.0
19,639218752701505,639218752710672,274,21543,122,314,0.0
15,639218752713224,639218752722474,2171,12590,262,454,0.0
16,639218752713224,639218752722891,17019,26414,94,297,639218752193141.0
17,639218752713307,639218752723307,2426,15543,104,314,0.0
34,639218752726672,639218752735755,204,23885,90,283,0.0
35,639218752727005,639218752736172,19927,27019,94,286,639218752193141.0
36,639218752727172,639218752736588,1239,17983,104,304,0.0
11,639218752740687,639218752747854,232,1262,118,269,0.0
9,639218752739604,639218752748771,17928,27659,108,300,639218752193141.0
8,639218752739354,639218752749021,796,18290,115,318,0.0
10,639218752742854,639218752749521,2309,16086,174,314,0.0
31,639218752753672,639218752760172,293,1282,90,227,0.0
32,639218752752672,639218752761005,841,22219,94,269,0.0
33,639218752753588,639218752762255,17324,28214,125,307,639218752193141.0
34,639218752753755,639218752762672,3172,21827,94,279,0.0
0,639218752767521,639218752773771,258,1276,164,293,0.0
2,639218752766271,639218752774771,18613,26911,108,286,639218752193141.0
1,639218752765354,639218752774937,520,18728,104,307,0.0
3,639218752766687,639218752775521,574,21566,118,304,0.0
10,639218752779521,639218752786771,204,1168,101,255,0.0
12,639218752778604,639218752787771,18819,25895,118,311,639218752193141.0
11,639218752778104,639218752787937,3349,19965,80,286,0.0
13,639218752778937,639218752788521,874,18906,104,307,0.0
36,639218752794172,639218752800505,278,1232,125,258,0.0
